"","condition"
"sample1","A"
"sample2","A"
"sample3","A"
"sample4","A"
"sample5","A"
"sample6","A"
"sample7","A"
"sample8","A"
"sample9","A"
"sample10","A"
"sample11","A"
"sample12","A"
"sample13","A"
"sample14","A"
"sample15","A"
"sample16","A"
"sample17","A"
"sample18","A"
"sample19","A"
"sample20","A"
"sample21","A"
"sample22","A"
"sample23","A"
"sample24","A"
"sample25","A"
"sample26","A"
"sample27","A"
"sample28","A"
"sample29","A"
"sample30","A"
"sample31","A"
"sample32","A"
"sample33","A"
"sample34","A"
"sample35","A"
"sample36","A"
"sample37","A"
"sample38","A"
"sample39","A"
"sample40","A"
"sample41","A"
"sample42","A"
"sample43","A"
"sample44","A"
"sample45","A"
"sample46","A"
"sample47","A"
"sample48","A"
"sample49","A"
"sample50","A"
"sample51","B"
"sample52","B"
"sample53","B"
"sample54","B"
"sample55","B"
"sample56","B"
"sample57","B"
"sample58","B"
"sample59","B"
"sample60","B"
"sample61","B"
"sample62","B"
"sample63","B"
"sample64","B"
"sample65","B"
"sample66","B"
"sample67","B"
"sample68","B"
"sample69","B"
"sample70","B"
"sample71","B"
"sample72","B"
"sample73","B"
"sample74","B"
"sample75","B"
"sample76","B"
"sample77","B"
"sample78","B"
"sample79","B"
"sample80","B"
"sample81","B"
"sample82","B"
"sample83","B"
"sample84","B"
"sample85","B"
"sample86","B"
"sample87","B"
"sample88","B"
"sample89","B"
"sample90","B"
"sample91","B"
"sample92","B"
"sample93","B"
"sample94","B"
"sample95","B"
"sample96","B"
"sample97","B"
"sample98","B"
"sample99","B"
"sample100","B"
